id,title,description,link,image link,price,condition,availability,gtin,mpn,brand,google product category,product type,sale price,sale price effective date,item group id,gender,age group,shipping weight,shipping,,,,,,,,,,,,,,,,,,,,,
alcon014,Focus Dailies All Day Comfort 90 pack - 90 Lenses,"Focus Dailies All Day Comfort are one of our top-selling daily contact lenses, designed to provide maximum comfort to your eyes, all day long.",https://lenssaver.co.uk/focus-dailies-all-day-comfort-90-pack-90-lenses.html,https://lenssaver.co.uk/pub/media/catalog/product/cache/12/image/536x337/e9c3970ab036de70892d86c6d221abfe/f/o/focus-dailies-all-day-comfort-90-pack.jpg,GBP 32.5,new,in stock,630175476708,LS654987221,Alcon,<g:google_product_category>2923</g:google_product_category>,Health & Beauty > Personal Care > Vision Care > Contact Lenses,,,,UNISEX,Adult,60 grams,UK::Standard:2.95 GBP,,,,,,,,,,,,,,,,,,,,,
alcon015,Focus Dailies Aqua Comfort Plus 30,"CIBA Vision / Alcon’s Dailies AquaComfort Plus contact lenses contain three moisturising agents. These agents act together to ensure long-lasting hydration for your eyes, relieving you from feelings of dryness and discomfort.",https://lenssaver.co.uk/alcon-focus-dailies-all-day-comfort-contact-lenses.html,https://lenssaver.co.uk/pub/media/catalog/product/cache/12/image/536x337/e9c3970ab036de70892d86c6d221abfe/d/a/dailies-aquacomfort-plus-contact-lenses_1.jpg,GBP 10.9,new,in stock,630175476159,LS654987222,Alcon,<g:google_product_category>2923</g:google_product_category>,Health & Beauty > Personal Care > Vision Care > Contact Lenses,,,,UNISEX,Adult,60 grams,UK::Standard:2.95 GBP,,,,,,,,,,,,,,,,,,,,,
alcon016,Focus Dailies Aqua Comfort Plus 90,"CIBA Vision / Alcon Dailies AquaComfort Plus contact lenses contain three moisturising agents. These agents act together to ensure long-lasting hydration for your eyes, relieving you from feelings of dryness and discomfort.",https://lenssaver.co.uk/alcon-focus-dailies-aqua-comfort-plus-contact-lenses.html,https://lenssaver.co.uk/pub/media/catalog/product/cache/12/image/536x337/e9c3970ab036de70892d86c6d221abfe/f/o/focus-dailies-aqua-comfort-plus-90-contact-lenses.jpg,GBP 32.00,new,in stock,630175510204,LS654987223,Alcon,<g:google_product_category>2923</g:google_product_category>,Health & Beauty > Personal Care > Vision Care > Contact Lenses,,,,UNISEX,Adult,60 grams,UK::Standard:2.95 GBP,,,,,,,,,,,,,,,,,,,,,
alcon017,Freshlook Colors,"Freshlook Colors by CIBA Vision / Alcon are designed to give you a dramatic change in appearance, with an iris design that blends with your natural base color to provide enhanced tones.",https://lenssaver.co.uk/ciba-vision-freshlook-colors-contact-lenses.html,https://lenssaver.co.uk/pub/media/catalog/product/cache/12/image/536x337/e9c3970ab036de70892d86c6d221abfe/f/r/freshlook-colors_1.jpg,GBP 12,new,in stock,730821602540,LS654987224,Alcon,<g:google_product_category>2923</g:google_product_category>,Health & Beauty > Personal Care > Vision Care > Contact Lenses,,,,UNISEX,Adult,60 grams,UK::Standard:2.95 GBP,,,,,,,,,,,,,,,,,,,,,
alcon018,Freshlook Dimensions,"Designed for those with naturally light colored eyes, Freshlook Dimensions offer a great option to subtly change your eye color for an intense appearance.",https://lenssaver.co.uk/alcon-freshlook-dimensions-contact-lenses.html,https://lenssaver.co.uk/pub/media/catalog/product/cache/12/image/536x337/e9c3970ab036de70892d86c6d221abfe/f/r/freshlook-dimensions-contact-lenses.jpg,GBP 14,new,in stock,730821679047,LS654987225,Alcon,<g:google_product_category>2923</g:google_product_category>,Health & Beauty > Personal Care > Vision Care > Contact Lenses,,,,UNISEX,Adult,60 grams,UK::Standard:2.95 GBP,,,,,,,,,,,,,,,,,,,,,
alcon019,Freshlook One Day 10,Freshlook One Day contact lenses by CIBA Vision / Alcon bring the comfort and convenience of dailies to colored contact lens wearers.,https://lenssaver.co.uk/freshlook-one-day-10.html,https://lenssaver.co.uk/pub/media/catalog/product/cache/12/image/536x337/e9c3970ab036de70892d86c6d221abfe/f/r/freshlook-one-day-10_1.jpg,GBP 10,new,in stock,630175476708,LS654987226,Alcon,<g:google_product_category>2923</g:google_product_category>,Health & Beauty > Personal Care > Vision Care > Contact Lenses,,,,UNISEX,Adult,60 grams,UK::Standard:2.95 GBP,,,,,,,,,,,,,,,,,,,,,
alcon021,Dailies Total 1 Multifocal 30 Pack,"DAILIES TOTAL1 Multifocal contact lenses are daily disposable silicon Hydrogel Lenses specifically designed to correct presbyopia, so you don’t have to go changing your look or your lifestyle. ",https://lenssaver.co.uk/dailies-total-1-multifocal-30-pack.html,https://lenssaver.co.uk/pub/media/catalog/product/cache/12/image/536x337/e9c3970ab036de70892d86c6d221abfe/d/a/dailies-total-1-multifocal-1_1.jpg,GBP 32.25,new,in stock,630175449702,LS654987288,Alcon,<g:google_product_category>2923</g:google_product_category>,Health & Beauty > Personal Care > Vision Care > Contact Lenses,,,,UNISEX,Adult,60 grams,UK::Standard:2.95 GBP,,,,,,,,,,,,,,,,,,,,,
alcon022,Dailies Total 1 Multifocal 90 Pack,"DAILIES TOTAL1 Multifocal contact lenses are daily disposable silicon Hydrogel Lenses specifically designed to correct presbyopia, so you don’t have to go changing your look or your lifestyle. ",https://lenssaver.co.uk/dailies-total-1-multifocal-90-pack.html,https://lenssaver.co.uk/pub/media/catalog/product/cache/12/image/536x337/e9c3970ab036de70892d86c6d221abfe/d/a/dailies-total-1-multifocal-90-pack-2.jpg,GBP 93.00,new,in stock,630175508331,LS654987289,Alcon,<g:google_product_category>2923</g:google_product_category>,Health & Beauty > Personal Care > Vision Care > Contact Lenses,,,,UNISEX,Adult,60 grams,UK::Standard:2.95 GBP,,,,,,,,,,,,,,,,,,,,,
bausch001,Bausch Lomb ULTRA MoistureSeal technology 6 lenses,"The Bausch + Lomb Ultra (samfilcon A) Visibility Tinted Soft (hydrophilic) Contact Lens is a soft hydrophilic contact lens which is available as a spherical lens.The lens material, samfilcon A, is a hydrophilic copolymer of a siloxane methacrylateand N-vinyl pyrrolidone, and is 46% water by weight when immersed in a sterileborate buffered saline with poloxamine solution.",https://lenssaver.co.uk/bausch-lomb-ultra-moistureseal-technology-6-lenses.html,https://lenssaver.co.uk/pub/static/frontend/Venustheme/sportshop/en_US/Magento_Catalog/images/product/placeholder/image.jpg,GBP 39.5,new,in stock,829196099298,LS654987227,Bausch,<g:google_product_category>2923</g:google_product_category>,Health & Beauty > Personal Care > Vision Care > Contact Lenses,,,,UNISEX,Adult,60 grams,UK::Standard:2.95 GBP,,,,,,,,,,,,,,,,,,,,,
bausch002,Bausch Lomb ULTRA Presbiopia 3 lenses,Patients are spending more time on digital devices which may mean they are less satisfied with their contact lenses.1 Bausch + Lomb ULTRA contact lenses with MoistureSeal technology may help.,https://lenssaver.co.uk/bausch-lomb-ultra-presbiopia-3-lenses.html,https://lenssaver.co.uk/pub/media/catalog/product/cache/12/image/536x337/e9c3970ab036de70892d86c6d221abfe/b/a/bausch-lomb-ultra-with-moisture-seal-technology.jpg,GBP 39.5,new,in stock,785811314828,LS654987228,Bausch,<g:google_product_category>2923</g:google_product_category>,Health & Beauty > Personal Care > Vision Care > Contact Lenses,,,,UNISEX,Adult,60 grams,UK::Standard:2.95 GBP,,,,,,,,,,,,,,,,,,,,,
